wait_penalty,alpha,gamma,avg_rt,p95,sla_pct,time_s
0.01,0.05,0.8,1.3152144701921227,2.3668659453280267,9.733333333333333,20.19925284385681
0.01,0.05,0.95,1.3166924431744809,2.37156361117959,9.76,20.58827233314514
0.01,0.1,0.8,1.3185032939307546,2.3871684147510677,10.01,21.140937328338623
0.01,0.1,0.95,1.3172362699764937,2.372517653927207,9.966666666666667,20.640273571014404
0.05,0.05,0.8,1.316461887892817,2.3509379977127534,9.86,19.991163730621338
0.05,0.05,0.95,1.3177845306098461,2.3524953473825003,9.87,20.693087100982666
0.05,0.1,0.8,1.31456790226358,2.3529553012922397,9.8,20.557006120681763
0.05,0.1,0.95,1.3189237912771292,2.3751278351061047,10.063333333333334,19.895549297332764
0.1,0.05,0.8,1.3192097331123582,2.360779757192358,10.056666666666667,20.58345866203308
0.1,0.05,0.95,1.3132043660485961,2.3440781272249294,9.76,20.214013814926147
0.1,0.1,0.8,1.322011780700103,2.3701682064915075,10.053333333333333,20.67189884185791
0.1,0.1,0.95,1.323415813382358,2.3929258726770057,10.306666666666667,20.004089832305908
